项目,主题,问题类型,优先级,
期权风控,分类投资者申报界面券类型为国债（含地方债）、公司债、转债、质押式回购、买断式回购五种类型申买与申卖均价计算错误,软件缺陷,高,
期权风控,各类投资者持有统计A股统计范围错误,软件缺陷,普通,
期权风控,分类投资者导出问题汇总,软件缺陷,普通,
期权风控,INSTRUMENT_TYPE_MV新增类型脚本未提交,软件缺陷,高,
期权风控,图形展示融资融券变动问题汇总,软件缺陷,低,
期权风控,市场统计查询中的参与者成交查询页面，母表和子表对应不上,软件缺陷,普通,
期权风控,融资融券交易中的会员查询页面，数据库有值，页面没有显示,软件缺陷,普通,
期权风控,市场统计查询中的参与者申报查询页面，输入结束时间查不出相应结果,软件缺陷,普通,
期权风控,各类投资者申报统计小计合计计算错误,软件缺陷,普通,
期权风控,各类投资者申报统计部分数值单位未转化,软件缺陷,普通,
期权风控,查询页面错别字汇总,软件缺陷,低,
期权风控,融资融券交易-融资余额查询合计统计错误,软件缺陷,普通,
期权风控,市场统计查询中证券指数影响统计页面，指数选择中证500导出页面有错误,软件缺陷,低,
期权风控,股指期货走势查询列表行和列位置错误,软件缺陷,普通,
期权风控,现货走势图形页面条件选择主要指数后查询报错,软件缺陷,普通,
期权风控,分时走势与时段净额图形页面对比指数选择上证综指时页面报错,软件缺陷,低,
期权风控,期权参与者组合申报详情的申报来源未显示为对应的中文,软件缺陷,低,
期权风控,策略信息查询页面行权价高低顺序显示有NaN,软件缺陷,普通,
期权风控,债券专版后台日志错误,软件缺陷,低,
期权风控,国际版模块后台日志错误,软件缺陷,低,
期权风控,查询模块后台日志错误,软件缺陷,低,
期权风控,风险警示板产品查询日志描述建议完善,软件缺陷,低,
期权风控,查询-重点监控查询模块日志错误,软件缺陷,低,
期权风控,查询-一码通账户查询模块日志错误,软件缺陷,低,
期权风控,查询-优先股查询模块日志错误,软件缺陷,低,
期权风控,查询-固定收益平台查询模块日志错误,软件缺陷,低,
期权风控,查询-分类投资者查询模块后台日志报错,软件缺陷,低,
期权风控,查询-参与者查询模块后台日志报错,软件缺陷,低,
期权风控,查询-产品查询模块后台日志报错,软件缺陷,低,
期权风控,新兴板持股集中度统计列表标题格式未统一,软件缺陷,低,
期权风控,建议投资者买入超限查询页面刷新后子表列表清空,软件缺陷,普通,
期权风控,分类投资者查询查询，个人账户交易统计查询交易缓慢,软件缺陷,低,
期权风控,分类投资者查询债券专业投资界面平台类型大宗产品类型风险警示板非专业投资者卖出金额显示错误,软件缺陷,普通,
期权风控,新兴板分类投资查询界面平台类型为竞价交易日查询子表显示错误,软件缺陷,低,
期权风控,分类投资者查询中新兴板个人账户交易统计页面，导出后表格中的合计行小数位错误,软件缺陷,低,
期权风控,分类投资者查询-债券专业投资者产品类型风险警示板数据显示不正确,软件缺陷,普通,
期权风控,风险警示版分类投资者-投资者买入超限查询新兴板产品的数据显示与数据库中的值不符,软件缺陷,普通,
期权风控,新兴板块各页面导出问题,软件缺陷,普通,
期权风控,新兴板的市场统计查询中的市场金额排序统计页面平台类型为竞价时子表无显示,软件缺陷,高,
期权风控,产品查询界面申报统计前N名不输入界面报错,软件缺陷,普通,
期权风控,分类投资者查询界面竞价数据不显示,软件缺陷,普通,
期权风控,个股期权板块参与者账户组层级导出的账户组名称不一致未改全,软件缺陷,低,
期权风控,参与者期权组合持仓统计义务方默认排序,软件缺陷,普通,
期权风控,策略信息查询策略标志第三位为非N的字符情况报错,软件缺陷,低,
期权风控,策略信息查询合约为空记录建议合约张数显示为空,软件缺陷,低,
期权风控,个股期权板块参与者账户组层级导出的账户组名称不一致,软件缺陷,低,
期权风控,参与者期权组合申报详情合约为空记录的申报数量建议显示为空,软件缺陷,普通,
期权风控,参与者期权组合持仓统计界面问题,软件缺陷,普通,
期权风控,期权组合持有统计下参与者层级营业部时查询结果第一列建议加宽,软件缺陷,低,
期权风控,营业部期权组合托管统计的营业部代码列建议显示全,软件缺陷,低,
期权风控,参与者查询期权组合统计界面持仓方向与下载文件中持仓方向不符,软件缺陷,普通,
期权风控,参与者期权组合申报详情页面控件排版建议,软件缺陷,普通,
期权风控,参与者组合申报详情输出申报时间错误,软件缺陷,普通,
期权风控,建议参与者期权组合持仓统计默认排序按期末组合持仓降序,软件缺陷,普通,
期权风控,参与者期权组合持仓输出列表标题名称未修改一致,软件缺陷,低,
期权风控,参与者期权组合申报详情/组合持仓统计页面标题和控件显示问题,软件缺陷,普通,
期权风控,参与者组合持仓统计查询条件多前N名,软件缺陷,普通,
期权风控,期权组合持有统计与参与者组合持仓统计输出框架不一致,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面排序问题,软件缺陷,普通,
期权风控,请开发确认参与者期权组合持仓统计名称显示,软件缺陷,低,
期权风控,参与者查询期权组合申报详情页面导出的结果中日期格式错误,软件缺陷,低,
期权风控,参与者组合申报详情消息类型为其他字符查询报错,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面显示错误,软件缺陷,普通,
期权风控,参与者组合申报详情输出的申报来源未转化为中文,软件缺陷,普通,
期权风控,策略信息查询页面报错,软件缺陷,普通,
期权风控,参与者组合申报详情输出申报时间格式错误,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面导出条件显示问题,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面显示问题,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面不要合计行,软件缺陷,低,
期权风控,参与者期权组合持有统计页面数据显示为空,软件缺陷,普通,
期权风控,参与者期权组合持有统计页面应该显示持仓量大于零的数据,软件缺陷,普通,
期权风控,产品期权组合持有统计页面应该显示持仓量大于零的数据,软件缺陷,普通,
期权风控,参与者查询期权组合申报详情页面导出的结果中账户组、券商、营业部名称为空,软件缺陷,普通,
期权风控,参与者查询期权组合申报详情页面导出的结果问题,软件缺陷,低,
期权风控,参与者查询期权组合申报详情页面查询条件有问题,软件缺陷,高,
期权风控,产品期权组合持有统计页面排序问题及建议,软件缺陷,低,
期权风控,策略信息查询页面建议,软件缺陷,低,
期权风控,参与者查询类型为账户组或营业部时，标签显示有问题,软件缺陷,普通,
期权风控,系统延迟查询刷新间隔无效,软件缺陷,普通,
期权风控,参与者持仓一码通账户存在大宗交易和固定交易，成交交易的账号持有统计子表显示错误,软件缺陷,普通,
期权风控,产品成交统计跨日含当日一码通层级子表显示错误,软件缺陷,普通,
期权风控,参与者一码通成交统计界面子表下载模板中标题多一个日期,软件缺陷,普通,
期权风控,参与持仓一码通账户关联的账号存在限售股交易，持仓不存在记录产品持有统计子表显示错误,软件缺陷,普通,
期权风控,产品持仓界面存在限售股交易，持仓不存在记录产品持有统计子表显示错误,软件缺陷,普通,
期权风控,参与者一码通持仓统计历史日期默认排序错误,软件缺陷,普通,
期权风控,产品查询成交统计页面平台类型为固定收益和大宗交易时子表显示有遗漏,软件缺陷,普通,
期权风控,产品查询成交统计页面参与者层级为一码通时竞价的子表显示错误,软件缺陷,高,
期权风控,参与者查询持仓统计页面涉及数量的数据多了小数位,软件缺陷,低,
期权风控,参与者查询申报统计母表导出第一行有错误,软件缺陷,低,
期权风控,信用账户查询表头问题,软件缺陷,普通,
期权风控,参与者一码通成交统计跨日含当日竞价查询一码通名称不显示,软件缺陷,低,
期权风控,参与者一码通持仓统计母表不能点击标题排序,软件缺陷,低,
期权风控,参与者一码通成交统计默认情况下点击查询子表应不显示,软件缺陷,普通,
期权风控,参与者一码通成交统计除跨日外的导出条件中缺成交价格和成交数量,软件缺陷,低,
期权风控,产品成交统计跨日含当日一码通按日统计查询报错,软件缺陷,普通,
期权风控,参与者一码通持仓统计前持仓和持仓都为0记录显示,软件缺陷,普通,
期权风控,参与者一码通持仓统计列标题多单位,软件缺陷,低,
期权风控,参与者一码通层级查询导出名称与页面不一致,软件缺陷,低,
期权风控,查询板块导出问题和子表无表头汇总,软件缺陷,普通,
期权风控,参与者查询子表导出条件不统一,软件缺陷,普通,
期权风控,产品查询成交统计页面平台类型为固定收益和大宗交易时点击【条件查询】按钮显示错误,软件缺陷,低,
期权风控,参与者查询页面子表数量字段不应该有小数位,软件缺陷,普通,
期权风控,产品查询成交统计页面参与者层级为一码通时竞价的子表显示错误,软件缺陷,低,
期权风控,产品查询成交统计页面跨日时按日统计情况下查询无结果,软件缺陷,普通,
期权风控,参与者申报详情页面数量没有千分位,软件缺陷,普通,
期权风控,参与者申报统计导出问题汇总,软件缺陷,普通,
期权风控,参与者为一码通时成交详情页面买、卖同时选择时会出现重复数据,软件缺陷,普通,
期权风控,参与者一码通持仓统计选过证券代码控件后再进入页面多控件,软件缺陷,普通,
期权风控,参与者一码通持仓统计子表查询信息与导出文本出错,软件缺陷,低,
期权风控,参与者一码通持仓统计界面历史交易日查询界面报错,软件缺陷,普通,
期权风控,参与者一码通成交统计跨日含当日查询竞价平台一码通数据未汇总,软件缺陷,普通,
期权风控,一码通子表导出条件不统一,软件缺陷,普通,
期权风控,产品查询一码通账户导入大于1000条没有提示,软件缺陷,普通,
期权风控,查询板块不同页面母表导出后保留小数位错误,软件缺陷,低,
期权风控,参与者持仓统计界面批量导入重复的一码通账户可以导入成功,软件缺陷,普通,
期权风控,参与者一码通持仓统计界面产品类型为优先股持仓市值计算错误,软件缺陷,普通,
期权风控,产品申报统计导入一码通账户查询不出结果,软件缺陷,普通,
期权风控,参与者一码通成交统计产品类型导入1000多个证券代码查询报错,软件缺陷,普通,
期权风控,参与者一码通成交统计跨日竞价产品类型条件无效,软件缺陷,普通,
期权风控,产品查询持仓统计证券类型为股票类小计功能和子表日期未显示,软件缺陷,普通,
期权风控,参与者一码通成交统计跨日导出条件多成交价格和成交数量,软件缺陷,普通,
期权风控,产品查询成交统计页面参与者层级为账户、营业部、券商时参与者代码输入后查询有问题,软件缺陷,普通,
期权风控,参与者一码通成交统计历史单日竞价查询排序错误,软件缺陷,普通,
期权风控,参与者一码通成交统计大宗和固收按日统计子表买入比例错误,软件缺陷,普通,
期权风控,参与者申报详情页面控件问题,软件缺陷,普通,
期权风控,产品查询成交统计页面平台类型为固定收益和大宗交易时母表和子表显示有遗漏,软件缺陷,高,
期权风控,参与者一码通成交统计跨日多日合计固收和大宗不含当日数据,软件缺陷,普通,
期权风控,产品查询成交统计页面平台类型为固定收益和大宗交易时输入参与者代码查询不到结果,软件缺陷,普通,
期权风控,参与者一码通成交统计固收和大宗母表均价计算错误,软件缺陷,普通,
期权风控,产品查询成交统计页面平台类型为固定收益和大宗交易时子表的均价没显示,软件缺陷,低,
期权风控,产品查询中成交统计页面导出的数据与页面数据不符,软件缺陷,低,
期权风控,参与者一码通成交统计导出一码通代码显示为名称,软件缺陷,低,
期权风控,参与者查询页面数量字段不应该有小数位,软件缺陷,普通,
期权风控,参与查询界面一码通导出文本功能实现错误,软件缺陷,普通,
期权风控,产品申报统计一码通子表导出问题,软件缺陷,普通,
期权风控,输出分子母表页面列表表头部分有括号部分无括号,软件缺陷,低,
期权风控,查询证券代码导出部分显示名称部分只显示代码,软件缺陷,普通,
期权风控,导入按钮显示的名称问题汇总,软件缺陷,普通,
期权风控,固定收益交易类型16债券质押式协议回购没有转换,软件缺陷,普通,
期权风控,参与者一码通申报统计母表分类合计问题,软件缺陷,普通,
期权风控,一码通账户数超过1000个情况一码通成交详情页报请求页面不存在,软件缺陷,普通,
期权风控,参与者申报/成交详情页价格没有保留3位小数,软件缺陷,普通,
期权风控,参与者查询一码通申报详情页面导出页面标题错误,软件缺陷,普通,
期权风控,建议参与者下拉项一码通名称一致,软件缺陷,普通,
期权风控,参与者一码通申报统计子表没有合计行,软件缺陷,普通,
期权风控,参与者查询页面显示问题汇总,软件缺陷,普通,
期权风控,建议一码通账户查询页面的一码通账户字段显示全,软件缺陷,低,
期权风控,参与者一码通申报统计页面点击表头可排序,软件缺陷,普通,
期权风控,参与者为一码通时成交详情页面的查询结果导出问题,软件缺陷,低,
期权风控,参与者查询页面代码为空不可查询,软件缺陷,普通,
期权风控,产品持有统计一码通层级母表表头没有写母表,软件缺陷,低,
期权风控,参与者查询申报统计页面导出功能问题汇总,软件缺陷,普通,
期权风控,产品持有统计ETF持有详情一码通界面买入比例与买出比例计算错误,软件缺陷,普通,
期权风控,参与者查询申报统计页面数据准确性有问题,软件缺陷,高,
期权风控,参与者查询申报统计页面报错,软件缺陷,高,
期权风控,产品查询页面申报统计查询结果子表显示问题,软件缺陷,普通,
期权风控,参与者查询一码通基本资料页面查询结果有问题,软件缺陷,普通,
期权风控,参与者查询页面一码通基础资料导出字段与页面不符,软件缺陷,低,
期权风控,参与者为非一码通时成交详情页面的查询结果列名错误,软件缺陷,低,
期权风控,参与者为一码通时成交详情页面的查询结果有问题,软件缺陷,高,
期权风控,产品查询持有统计问题汇总,软件缺陷,普通,
期权风控,所有一码通导入窗名称显示,软件缺陷,普通,
期权风控,一码通账户查询一码通导入按钮显示名称错误,软件缺陷,普通,
期权风控,一码通账户查询输出列表缺一码通名称字段,软件缺陷,普通,
期权风控,一码通账户查询导出缺查询条件,软件缺陷,普通,
期权风控,一码通账户查询账户输入框为空不可查询,软件缺陷,普通,
期权风控,一码通查询标题显示与需求不一致,软件缺陷,低,
期权风控,固收账户查询导出问题汇总,软件缺陷,普通,
期权风控,固收账户查询页面显示问题,软件缺陷,普通,
期权风控,固收账户查询一码通子表记录显示问题,软件缺陷,普通,
期权风控,产品查询与参与者查询界面查询导出本页结果小数位显示不正确,软件缺陷,低,
期权风控,债券专板中市场统计查询和分类投资者查询结果导出后小数位不正确,软件缺陷,低,
期权风控,个股期权版块期权重点监控账户组查询导出文件与界面显示小数位数不符,软件缺陷,低,
期权风控,风险警示板和国际版查询结果导出后小数位不正确,软件缺陷,低,
期权风控,个股期权板块“ETF交易价格与指数偏离”菜单名称与需求不符,软件缺陷,低,
期权风控,沪港通查询境外投资者持股比例盘前处理页面的持股比例最后一位小数位错误,软件缺陷,普通,
期权风控,融资融券通过网页下载后压缩包里的文件名乱码,软件缺陷,普通,
期权风控,所有境外投资者持股比例达到或超过警戒比例通知单导出后保留小数位错误,软件缺陷,普通,
期权风控,建议标的证券和期权合约合并查询子表标题的期权名称改为期权简称,软件缺陷,低,
期权风控,理论价格与实际价格偏离页波动率为空查询导出显示为empty,软件缺陷,低,
期权风控,沪港通查询境外投资者持股比例盘前处理页面文件生成只能生成当日文件,软件缺陷,普通,
期权风控,ETF交易价格与指数偏离计算页面查询后台日志报错,软件缺陷,低,
期权风控,ETF交易价格与指数偏离计算s8为0情况最新价没有取到前收盘价,软件缺陷,普通,
期权风控,沪股通查询页面境外投资者持股比例盘前处理页面仅QIFF账号超过预警导出报错,软件缺陷,高,
期权风控,个股期权板理论价格与实际价格偏离查询页面错误信息,软件缺陷,普通,
期权风控,ETF交易价格与指数偏离计算母表默认排序错误,软件缺陷,普通,
期权风控,ETF交易价格与指数偏离计算页面导出问题,软件缺陷,低,
期权风控,ETF交易价格与指数偏离计算页面子表显示问题,软件缺陷,低,
期权风控,ETF交易价格与指数偏离计算页面时间控件问题,软件缺陷,普通,
期权风控,ETF交易价格与指数偏离计算页面报错,软件缺陷,高,
期权风控,沪股通标的证券申报和交易统计成交量为0情况成交比例显示为空,软件缺陷,低,
期权风控,期权-参与者成交统计导出问题,软件缺陷,低,
期权风控,沪股通标的证券申报和交易统计导出第一行显示问题,软件缺陷,普通,
期权风控,沪股通标的证券申报和交易统计母表合计行成交比例计算错误,软件缺陷,普通,
期权风控,标的证券和期权合约合并查询导出问题,软件缺陷,低,
期权风控,标的证券和期权合约合并查询时间控件问题,软件缺陷,普通,
期权风控,用户登录系统日志文件记录中登陆应改为登录,软件缺陷,低,
期权风控,标的证券和期权合约合并查询母表、子表表头显示和需求不一致,软件缺陷,低,
期权风控,理论价格与实际价格偏离查询表表头没有冒号,软件缺陷,低,
期权风控,境外投资者持股比例盘前处理生成文件报未知异常,软件缺陷,普通,
期权风控,境外投资者持股比例盘前处理生成文件报未知异常,软件缺陷,普通,
期权风控,建议境外投资者持股比例盘前处理输出列表高度加高,软件缺陷,低,
期权风控,沪股通额度查询页面查询结果显示建议,设计优化,低,
期权风控,参与者成交统计页面导出问题汇总,软件缺陷,普通,
期权风控,个股期权板参与者查询成交统计页面导出问题汇总,软件缺陷,普通,
期权风控,理论价格与实际价格偏离查询默认排序错误,软件缺陷,普通,
期权风控,理论价格与实际价格偏离查询条件提示信息和导出中存在隐含波动率,软件缺陷,普通,
期权风控,部分查询页面列表表头名称后有冒号,软件缺陷,低,
期权风控,标的证券和期权合约合并查询列表字段输出位置与需求不一致,软件缺陷,低,
期权风控,标的证券和期权合约合并查询导出问题,软件缺陷,低,
期权风控,标的证券和期权合约合并查询时间控件问题,软件缺陷,普通,
期权风控,债券质押式协议回购导出问题,软件缺陷,普通,
期权风控,建议债券质押式协议回购查询结果列表的业务类型显示为中文名称,软件缺陷,普通,
期权风控,参与者申报详情和成交详情页面数据超过1万条的时候没有出现弹窗,软件缺陷,普通,
期权风控,固定收益平台查询页面条件查询出错,软件缺陷,普通,
期权风控,沪股通额度查询页面日期为空格时查询出错,软件缺陷,普通,
期权风控,沪股通额度查询页面的标题名称没有加单位,软件缺陷,普通,
期权风控,分类投资者查询下的子页面历史日期不同时间段数据不一样,软件缺陷,普通,
期权风控,债券专版交易金额排序统计页面子表没有对债权质押式协议进行剔除,软件缺陷,普通,
期权风控,交易金额排序统计页面固定收益平台时国债类别没有数据,软件缺陷,低,
期权风控,交易金额排序统计页面跨日的时候页面报错,软件缺陷,普通,
期权风控,债券专板中的债券成交详情和债券成交统计页面的成交类型字段没有区分导致页面数据无法显示,软件缺陷,普通,
期权风控,境外投资者持股比例盘前处理页面名称错误,软件缺陷,普通,
期权风控,境外投资者持股比例盘前处理页面数据处理处理失败时提示不友好,软件缺陷,普通,
期权风控,境外投资者持股比例试算查询结果没有按照持股比例降序排列,软件缺陷,普通,
期权风控,沪股通申报统计页面没有申报记录的字段不要显示为0应该显示为空,软件缺陷,普通,
期权风控,沪股通申报统计页面没有说明产品是债券类型时申买金额需要乘于10,软件缺陷,普通,
期权风控,账户成交统计页面同一标的单日和跨日中的按日统计数据不一致,软件缺陷,普通,
期权风控,标的证券和期权合约合并查询页面字段和需求不一致,软件缺陷,普通,
期权风控,账户成交统计子表(合约)中成交数量字段错误,软件缺陷,普通,
期权风控,账户组成交统计页面报错,软件缺陷,普通,
期权风控,建议沪港通成交统计的金额值保留3位小数,软件缺陷,低,
期权风控,沪股通申报统计（子表）中债券的申报均价计算错误,软件缺陷,普通,
期权风控,沪股通成交统计页面选择开始和结束时间时应该是9点和17点而不是机器当前时间,软件缺陷,普通,
期权风控,沪股通成交统计页面查询输出为空的数据应该排在最下面而实际情况是排在了最上面,软件缺陷,普通,
期权风控,沪股通成交统计页面默认条件下的证券代码没有过滤掉非沪股通代码,软件缺陷,普通,
期权风控,参与者查询->账户成交统计  页面UI问题汇总,软件缺陷,低,
期权风控,参与者查询->账户成交统计  导出功能问题汇总,软件缺陷,普通,
期权风控,产品查询->期权成交详情 跨日查询的成交编号重复,软件缺陷,普通,
期权风控,参与者查询，申报统计页面的单张合约delta值计算错误,软件缺陷,高,
期权风控,"参与者查询-账户持仓统计  页面中的""账户""二字在导出的excel中显示为""账户代码""，二者名称需要统一",软件缺陷,普通,
期权风控,分类投资者查询中有交易明细表的页面，交易明细表无法导出,软件缺陷,普通,
期权风控,证券各类投资者分类统计中导出的excel文件中出现字符串。,软件缺陷,普通,
期权风控,风险警示板分类投资者中投资者买入超限查询页面，导出的excel文件中没有标题。,软件缺陷,低,
期权风控,参与者持仓统计跨日查询多方空方期初持有数量计算错误,软件缺陷,普通,
期权风控,参与者持仓统计跨日查询期初合约单位显示为期末合约单位值,软件缺陷,普通,
期权风控,行权期权风控表部分数据值翻倍,软件缺陷,普通,
期权风控,分类投资者部门页面查询条件控件没有对齐,软件缺陷,低,
期权风控,除个股期权板块外的页面导出报未知异常,软件缺陷,高,
期权风控,期权查询页面期权名称标题不一致,软件缺陷,低,
期权风控,行权查询导出的excel中查询条件不固定,软件缺陷,普通,
期权风控,行权期权风控查询的申报数量没有汇总,软件缺陷,普通,
期权风控,参与者持仓统计跨日查询某期权只存在一个日期情况合约子表显示有误,软件缺陷,普通,
期权风控,请开发确认参与者账户层级查询竞价部分数据包不包括账户对应的信用账户数据,软件缺陷,普通,
期权风控,参与者申报统计均价分母为0情况页面报错,软件缺陷,普通,
期权风控,参与者持仓统计标的券s8为0情况delta值为空,软件缺陷,高,
期权风控,账户/账户组持仓统计页面，跨日查询时，账户/账户组持仓统计输出子表（合约）中多个值汇总错误,软件缺陷,高,
期权风控,账户/账户组持仓统计页面，跨日查询期末单张合约delta和合计delta值错误,软件缺陷,高,
期权风控,参与者持仓统计标的券期初期末持仓为0情况标的子表的代码和简称不显示,软件缺陷,普通,
期权风控,账户/账户组持仓统计页面，持仓统计母表的合计delta值汇总错误,软件缺陷,高,
期权风控,账户/账户组持仓统计页面，当日多方、空方期末持有数量统计错误,软件缺陷,高,
期权风控,分类投资者-信托产品交易统计页面期权代码控件没有对期权代码进行过滤,软件缺陷,普通,
期权风控,参与者申报统计页面纵向滚动时按钮不固定,软件缺陷,低,
期权风控,参与者申报统计页面的券商申报统计子表（合约）中单张合约delta列查询无结果显示。,软件缺陷,普通,
期权风控,分类投资查询页面纵向滚动时导出按钮和列表表头不固定,软件缺陷,普通,
期权风控,个人交易统计页面交易区间为10万元以下持仓需求确认,软件缺陷,普通,
期权风控,个人账户交易统计页面带时间查询交易量翻倍,软件缺陷,普通,
期权风控,期权成交统计页面和期权申报统计页面查询控件显示问题,软件缺陷,低,
期权风控,参与者申报统计跨日查询时申报均价错误,软件缺陷,高,
期权风控,参与者申报统计页面数值为0情况显示不一致,软件缺陷,低,
期权风控,参与者申报统计母表默认排序有误,软件缺陷,普通,
期权风控,券商申报统计标的子表数值计算错误,软件缺陷,普通,
期权风控,参与者申报统计单张合约delta计算错误,软件缺陷,普通,
期权风控,参与者申报统计合约子表中申报数量不含撤单量,软件缺陷,普通,
期权风控,账户/账户组持仓统计delta计算错误,软件缺陷,高,
期权风控,分类投资者-各个页面刷新期权代码后多次查询只保留第一次查询的期权代码相关查询结果,软件缺陷,普通,
期权风控,账户/账户组持仓统计合约子表表头没有期末净持仓,软件缺陷,高,
期权风控,账户/账户组持仓统计结束日期为当日情况标的子表中期末持仓量、持仓市值为0,软件缺陷,普通,
期权风控,账户/账户组持仓统计合约明细一个期权代码有多条记录,软件缺陷,普通,
期权风控,账户持仓统计页面合约子表期初合约单位显示有误,软件缺陷,普通,
期权风控,账户/账户组持仓统计中结束日期为当日情况标的期末持有数量显示为0,软件缺陷,高,
期权风控,账户持仓统计母表中标的券没有持仓数据时标的简称显示为空,软件缺陷,普通,
期权风控,"期权成交详情页面字段""参与者层级""默认值有误",软件缺陷,普通,
期权风控,期权成交详情  买卖状态和备兑组合条件查询异常,软件缺陷,普通,
期权风控,行权查询权利方净持仓量计算有误,软件缺陷,普通,
期权风控,行权期权风控列表值计算错误,软件缺陷,高,
期权风控,专户理财、商业银行页面查询结果有错误记录,软件缺陷,普通,
期权风控,期权代码控件模糊查询输入数字后下拉框有重复记录,软件缺陷,低,
期权风控,券商自营账户交易统计页面查询速度较慢,软件缺陷,低,
期权风控,证券各类投资者分类统计中小计、合计计算错误,软件缺陷,普通,
期权风控,标的券代码控件模糊查询输入5后下拉结果中记录重复,软件缺陷,低,
期权风控,建议证券各类投资者分类统计查询结果去掉纵向滚动条,软件缺陷,低,
期权风控,企业年金、商业银行交易统计和专户理财交易统计，按合约月份、行权价类型查询的持仓结果错误,软件缺陷,高,
期权风控,期权成交统计页面一方有数据一方没有数据情况建议无数据那方显示为空,软件缺陷,低,
期权风控,期权成交统计历史日期查询的均价计算错误,软件缺陷,高,
期权风控,期权成交统计跨日按日统计默认排序错误,软件缺陷,普通,
期权风控,分类投资者各查询页面按单日或历史单日带时间段查询，期权代码取消全选后查询结果错误,软件缺陷,普通,
期权风控,基金账户交易统计查询条件全选时全选框未勾选,设计优化,低,
期权风控,期权申报统计页面报错（全量数据库脚本部署环境）,软件缺陷,普通,
期权风控,期权产品查询部分页面查询条件排列不美观,软件缺陷,低,
期权风控,期权成交详情/成交统计导出的合约单位没有右对齐,软件缺陷,低,
期权风控,期权成交详情/参与者成交详情页面输出结果中备兑没有分买方卖方,软件缺陷,普通,
期权风控,QFII账户交易统计页面查询刷新期权代码后提示不同,软件缺陷,普通,
期权风控,分类投资者所有页面导出的查询条件中引号标识不统一，建议修改,软件缺陷,普通,
期权风控,商业银行、企业年金、专户理财交易统计默认排序错误,软件缺陷,普通,
期权风控,分类投资者所有页面导出的excel中行权价类型显示错误,软件缺陷,普通,
期权风控,分类投资者查询明细表导出的金额有3位小数,软件缺陷,低,
期权风控,需求问题汇总,软件缺陷,低,
期权风控,期权风控导出问题汇总,软件缺陷,低,
期权风控,OPS004跌幅门限信息显示错误,软件缺陷,普通,
期权风控,营业部、券商查询部分页面只读查询条件没有置灰,软件缺陷,低,
期权风控,各类投资者交易统计查询导出的数据型数据没有右对齐,软件缺陷,低,
期权风控,账户/账户组持仓统计含现货查询090000~100000时间段记录不显示,软件缺陷,普通,
期权风控,账户/账户组持仓统计现货查询记录显示所有类型记录,软件缺陷,普通,
期权风控,行权查询页面申报来源相同情况输入账户查询与输入产品查询的查询结果不一致,软件缺陷,低,
期权风控,信托产品交易统计页面同一结束时刻的持仓量不一致,软件缺陷,高,
期权风控,期权持有统计页面显示了期初、期末都为0的记录,软件缺陷,低,
期权风控,期权申报统计页面查询结果列标题问题,软件缺陷,低,
期权风控,参与者申报详情中参与者代码参与者名称列显示与需求不一致,软件缺陷,低,
期权风控,信托产品交易统计页面详情表中同一结束时刻的持仓量不相同,软件缺陷,高,
期权风控,账户持仓统计勾选含现货时账户对应的信用账户的竞价记录不显示,软件缺陷,高,
期权风控,账户持仓统计含现货查询有误,软件缺陷,高,
期权风控,OPS004门限中席位描述错误，跌幅门限实际值显示负数,软件缺陷,普通,
期权风控,option_position_degree_h表收盘价取值错误,软件缺陷,普通,
期权风控,期权持有集中度查询标注日期有误,软件缺陷,普通,
期权风控,期权重点监控账户组查询默认排序,软件缺陷,普通,
期权风控,行权查询页面申报来源为其他时显示,软件缺陷,普通,
期权风控,期权期权风控页面导出功能报”未知异常“错误,软件缺陷,高,
期权风控,期权基本资料页中‘合约状态信息标签描述’显示与需求不符。,软件缺陷,普通,
期权风控,需求问题汇总,软件缺陷,低,
期权风控,参与者查询申报统计的申报均价计算错误,软件缺陷,高,
